,Instrument,Date,Time,Open,High,Low,Close
6044,NIFTY,2012-03-07 13:00:00,13:00,5202.35,5203.55,5202.15,5202.7
6045,NIFTY,2012-03-07 14:00:00,14:00,5190.95,5195.05,5189.6,5194.95
6046,NIFTY,2012-03-07 15:00:00,15:00,5208.95,5211.75,5208.95,5211.15
6047,NIFTY,2012-03-09 10:00:00,10:00,5311.3,5313.85,5311.3,5312.55
6048,NIFTY,2012-03-09 11:00:00,11:00,5329.2,5332.05,5329.2,5331.7
6049,NIFTY,2012-03-09 12:00:00,12:00,5312.05,5312.7,5310.6,5311.35
6050,NIFTY,2012-03-09 13:00:00,13:00,5316.45,5316.6,5315.1,5315.1
6051,NIFTY,2012-03-09 14:00:00,14:00,5326.65,5327.65,5325.9,5326.5
6052,NIFTY,2012-03-09 15:00:00,15:00,5338.05,5339.35,5337.6,5339.35
6053,NIFTY,2012-03-12 10:00:00,10:00,5371.85,5373.3,5371.1,5373.3
6054,NIFTY,2012-03-12 11:00:00,11:00,5363.0,5363.85,5362.8,5363.7
6055,NIFTY,2012-03-12 12:00:00,12:00,5338.9,5341.3,5338.75,5340.8
6056,NIFTY,2012-03-12 13:00:00,13:00,5353.35,5354.8,5353.15,5354.1
6057,NIFTY,2012-03-12 14:00:00,14:00,5347.95,5351.15,5347.8,5350.8
6058,NIFTY,2012-03-12 15:00:00,15:00,5369.4,5369.9,5366.6,5366.9
6059,NIFTY,2012-03-13 10:00:00,10:00,5426.75,5426.9,5424.8,5424.9
6060,NIFTY,2012-03-13 11:00:00,11:00,5429.25,5429.65,5428.8,5429.25
6061,NIFTY,2012-03-13 12:00:00,12:00,5420.05,5420.1,5418.15,5418.4
6062,NIFTY,2012-03-13 13:00:00,13:00,5421.85,5422.05,5421.35,5421.45
6063,NIFTY,2012-03-13 14:00:00,14:00,5425.05,5427.1,5425.0,5427.1
6064,NIFTY,2012-03-13 15:00:00,15:00,5426.65,5428.2,5426.25,5428.1
6065,NIFTY,2012-03-14 10:00:00,10:00,5473.15,5474.5,5471.45,5471.45
6066,NIFTY,2012-03-14 11:00:00,11:00,5474.3,5474.45,5472.45,5472.5
6067,NIFTY,2012-03-14 12:00:00,12:00,5450.65,5452.9,5450.65,5452.9
6068,NIFTY,2012-03-14 13:00:00,13:00,5452.8,5453.05,5451.9,5451.9
6069,NIFTY,2012-03-14 14:00:00,14:00,5460.65,5461.5,5459.65,5459.65
6070,NIFTY,2012-03-14 15:00:00,15:00,5457.8,5460.85,5457.55,5458.95
6071,NIFTY,2012-03-15 10:00:00,10:00,5436.75,5437.0,5435.45,5435.65
6072,NIFTY,2012-03-15 11:00:00,11:00,5429.15,5432.5,5429.15,5430.85
6073,NIFTY,2012-03-15 12:00:00,12:00,5385.1,5385.3,5381.05,5381.3
6074,NIFTY,2012-03-15 13:00:00,13:00,5390.75,5394.2,5390.65,5392.25
6075,NIFTY,2012-03-15 14:00:00,14:00,5385.2,5385.85,5384.85,5385.35
6076,NIFTY,2012-03-15 15:00:00,15:00,5366.1,5367.2,5365.25,5367.15
6077,NIFTY,2012-03-16 10:00:00,10:00,5405.45,5406.4,5403.7,5404.35
6078,NIFTY,2012-03-16 11:00:00,11:00,5411.1,5411.1,5405.05,5405.05
6079,NIFTY,2012-03-16 12:00:00,12:00,5402.25,5402.9,5384.1,5384.35
6080,NIFTY,2012-03-16 13:00:00,13:00,5391.4,5391.5,5388.7,5389.25
6081,NIFTY,2012-03-16 14:00:00,14:00,5406.15,5406.85,5405.3,5405.45
6082,NIFTY,2012-03-16 15:00:00,15:00,5333.8,5335.85,5333.1,5333.6
6083,NIFTY,2012-03-19 10:00:00,10:00,5313.1,5316.55,5312.85,5313.05
6084,NIFTY,2012-03-19 11:00:00,11:00,5300.55,5302.35,5300.4,5301.7
